# fuente: https://www.inegi.org.mx/app/tabulados/default.html?nc=624 tercer trimestre 2022
State,Unemployment
MX-AGU,4.03922817
MX-BCN,2.59254362
MX-BCS,2.86790431
MX-CAM,2.2977209
MX-CHH,2.46536404
MX-CHP,2.2884669
MX-CMX,5.25199988
MX-COA,4.24342442
MX-COL,2.6098454
MX-DUR,3.25674844
MX-GUA,4.01364072
MX-GRO,1.7187504
MX-HID,2.30357053
MX-JAL,2.81465104
MX-MEX,4.83120066
MX-MIC,1.8510605
MX-MOR,2.39592541
MX-NAY,2.75796275
MX-NLE,4.06228081
MX-OAX,1.40694004
MX-PUE,2.73089755
QRO,3.81932688
QR,2.9265971
SLP,3.37770619
SIN,3.33011344
SON,3.81533691
TAB,5.2553575
TMS,3.66340975
TLX,3.77758131
VER,3.06521808
MX-YUC,2.0484404
ZAC,2.74256441
